LABID,YEAR,SEROTYPE,MLST,PBP1a,PBP2b,PBP2x,PEN,AMO,MER,TAX,CFT,CFX
0036-00,1999,19F,651,13,16,47,MIC = 1,MIC = 1,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
0042-99,1998,23A,338,0,1,48,MIC = 0.25,MIC = 0.25,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0043-99,1998,23F,37,27,38,52,MIC = 8,MIC = 8,MIC > 1,MIC = 8,MIC = NA,MIC > 2
0068-99,1998,8,1480,3,5,5,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0074-99,1998,18C,113,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0103-99,1998,4,244,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0104-99,1998,14,782,35,33,36,MIC = 2,MIC = 2,MIC = 0.25,MIC = 1,MIC = NA,MIC > 2
0117-99,1998,14,199,6,40,52,MIC = 0.5,MIC = 0.12,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
0131-99,1998,23F,33,0,0,53,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0133-99,1998,18C,9513,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0165-01,2000,NA,81,15,12,18,MIC = 2,MIC = 1,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
0181-01,2000,NA,13,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0205-99,1998,18C,113,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0223-99,1998,14,124,23,26,49,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0236-99,1998,1,227,23,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0237-99,1998,19A,199,0,29,11,MIC = 0.12,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC = NA,MIC <= 0.5
0246-00,1999,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0250-00,1999,23F,36,0,0,83,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0254-01,2000,NA,13,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0265-02,2001,23F,37,27,38,52,MIC = 8,MIC = 8,MIC > 1,MIC = 8,MIC = NA,MIC > 2
0283-99,1998,4,695,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0293-99,1998,4,205,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC = NA
0328-99,1998,06B,9922,39,37,51,MIC = 2,MIC = 4,MIC = 0.5,MIC = 4,MIC = NA,MIC > 2
0337-02,2001,14,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0351-00,1999,5,289,23,0,32,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0392-00,1999,18B,9565,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0431-00,1999,19F,425,2,4,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0444-99,1998,23F,242,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0450-99,1998,23F,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0452-99,1998,06B,384,40,36,55,MIC = 2,MIC = 2,MIC > 1,MIC = 1,MIC = NA,MIC > 2
0473-00,1999,23F,629,12,0,57,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0474-00,1999,14,13,2,0,50,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0487-00,1999,18C,496,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0490-00,1999,4,695,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0499-99,1998,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0518-99,1998,14,13,2,0,50,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
0525-01,2000,NA,1269,1,0,78,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0536-02,2001,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0545-99,1998,06B,138,0,0,61,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC = 1
0568-00,1999,4,244,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0579-00,1999,09V,643,19,39,46,MIC = 0.25,MIC = 0.25,MIC = 0.12,MIC = 0.12,MIC = NA,MIC = 1
0581-99,1998,18C,113,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0584-99,1998,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0586-99,1998,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0588-00,1999,4,205,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0602-99,1998,11A,62,2,6,10,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0605-99,1998,23F,81,15,12,18,MIC = 4,MIC = 2,MIC = 1,MIC = 2,MIC = NA,MIC > 2
0635-99,1998,4,899,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0648-00,1999,4,695,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0648-99,1998,14,67,38,16,36,MIC = 2,MIC = 2,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
0667-00,1999,9V,1269,1,0,54,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0672-00,1999,18C,3065,2,0,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0683-00,1999,19F,177,23,0,139,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0692-00,1999,06B,384,41,36,36,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0702-00,1999,06B,384,48,36,8,MIC = 4,MIC = 8,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0711-00,1999,15C,199,8,6,86,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0728-99,1998,19A,199,0,29,11,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0736-99,1998,19A,1936,25,16,85,MIC = 2,MIC = 2,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
0752-99,1998,09V,156,15,12,18,MIC = 4,MIC = 2,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
0760-99,1998,6A/6B,9560,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0761-99,1998,09V,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0767-99,1998,23F,81,15,12,26,MIC = 4,MIC = 2,MIC = 0.5,MIC = 4,MIC = NA,MIC > 2
0769-99,1998,14,13,2,0,50,MIC = 0.25,MIC <= 0.03,MIC = 0.12,MIC = 1,MIC = NA,MIC > 2
0811-00,1999,14,16,27,36,8,MIC = 2,MIC = 4,MIC = 0.5,MIC = 1,MIC = NA,MIC = 1
0814-00,1999,4,9557,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0840-99,1998,09V,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0853-99,1998,1,303,2,44,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0867-99,1998,23F,439,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0869-99,1998,23F,439,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0880-99,1998,09V,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0883-99,1998,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0890-99,1998,09V,156,15,12,18,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0892-99,1998,09V,1269,1,0,54,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0934-99,1998,06B,"23,6,1,2,6,3,n",34,41,56,MIC = 1,MIC = 1,MIC = 0.25,MIC = 0.5,MIC = NA,MIC = 2
0936-99,1998,19F,193,1,0,60,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0937-00,1999,18C,496,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0939-00,1999,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0939-99,1998,06A,376,42,42,8,MIC = 0.5,MIC = 0.5,MIC = 0.12,MIC = 0.12,MIC = NA,MIC = 1
0940-00,1999,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0942-00,1999,14,13,27,36,8,MIC = 8,MIC > 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0959-00,1999,23F,37,0,45,53,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0960-00,1999,19F,81,15,12,18,MIC = 4,MIC = 2,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0969-00,1999,4,695,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0970-00,1999,09V,156,15,12,18,MIC = 2,MIC = 2,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
0977-99,1998,14,13,27,36,8,MIC = 8,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0983-00,1999,19F,654,2,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0986-00,1999,18A,241,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0993-01,2000,NA,439,12,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0995-99,1998,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1000-99,1998,16,659,9,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1008-00,1999,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1009-99,1998,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1013-99,1998,23F,81,15,12,18,MIC = 2,MIC = 2,MIC = 0.5,MIC = 2,MIC = NA,MIC > 2
1014-00,1999,6A,90,34,41,56,MIC = 1,MIC = 1,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
1014-99,1998,1,227,23,0,59,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1015-00,1999,14,13,2,0,50,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = 0.12,MIC = NA,MIC <= 0.5
1017-00,1999,06B,2456,25,43,7,MIC = 0.5,MIC = 1,MIC = 0.25,MIC = 0.25,MIC = NA,MIC = 1
1018-00,1999,14,13,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1026-98,1998,23F,81,15,12,18,MIC = 2,MIC = NA,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
1049-99,1998,09N,632,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1050-00,1999,22F,433,1,2,12,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
1051-98,1998,1,227,23,0,2,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1057-99,1998,19F,1340,2,4,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1058-00,1999,18C,1073,44,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1068-00,1999,06A,1339,27,30,8,MIC = 1,MIC = 1,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
1079-99,1998,9N,632,1,0,0,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1081-00,1999,14,622,2,0,50,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
1085-00,1999,14,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1088-00,1999,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
1116-99,1998,14,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = 0.12,MIC = NA,MIC <= 0.5
1128-01,2000,NA,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1131-00,1999,06A,9453,23,6,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1148-98,1998,33A/33F,1012,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1160-00,1999,31,433,12,2,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1193-99,1998,09V,460,23,0,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1194-99,1998,19F,162,2,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1209-02,2001,19A,199,8,29,8,MIC = 0.5,MIC = 0.25,MIC <= 0.06,MIC = 0.5,MIC = NA,MIC = 2
1220-99,1998,20,1257,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1226-00,1999,14,13,27,36,8,MIC = 1,MIC = 2,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
1234-99,1998,14,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1237-99,1998,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1239-99,1998,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1240-01,2000,NA,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1265-00,1999,09V,156,15,12,18,MIC = 4,MIC = 2,MIC = 0.5,MIC = 2,MIC = NA,MIC > 2
1309-00,1999,18C,9516,2,0,0,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1311-99,1998,NA,393,2,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1318-00,1999,09V,156,15,12,18,MIC = 2,MIC = 1,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
1327-99,1998,4,695,0,0,3,MIC = 0.06,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1343-00,1999,14,15,43,31,20,MIC = 0.5,MIC = 0.5,MIC = 0.12,MIC = 0.12,MIC = NA,MIC = 2
1361-00,1999,06B,517,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1368-00,1999,14,13,2,0,50,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
1373-00,1999,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1396-00,1999,14,227,23,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1457-00,1999,NA,"5,12,29,12,115,n,18",2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1460-00,1999,4,695,0,0,71,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1461-00,1999,3,180,2,3,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1464-00,1999,35B,452,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1506-98,1998,14,124,23,26,2,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1533-00,1999,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1534-99,1998,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1538-00,1999,19F,1203,20,18,25,MIC = 0.25,MIC = 0.06,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1553-99,1998,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
1554-00,1999,14,13,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1556-00,1999,14,13,27,36,8,MIC = 2,MIC = 4,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
1558-99,1998,09V,156,15,12,18,MIC = 4,MIC = 2,MIC = 0.5,MIC = 2,MIC = NA,MIC > 2
1560-99,1998,14,67,38,16,36,MIC = 2,MIC = 2,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1561-99,1998,18C,13,2,0,50,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1564-99,1998,14,13,27,36,8,MIC = 4,MIC = 8,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1568-99,1998,3,180,2,3,2,MIC = 0.12,MIC <= 0.03,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
1582-99,1998,15C,645,1,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1585-99,1998,5,289,23,0,32,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1652-99,1998,4,244,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1655-00,1999,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1662-00,1999,06A,660,46,25,8,MIC = 1,MIC = 1,MIC = 0.25,MIC = 0.5,MIC = NA,MIC = 2
1668-00,1999,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
1696-98,1998,14,124,23,26,49,MIC <= 0.03,MIC = NA,MIC = 0.12,MIC <= 0.06,MIC = NA,MIC <= 0.5
1769-00,1999,14,124,23,26,2,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
1775-02,2001,6B,138,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1813-98,1998,14,13,2,0,50,MIC <= 0.03,MIC = NA,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC = NA
1829-99,1998,14,13,2,0,64,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1833-00,1999,14,9899,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1834-00,1999,19F,199,27,29,33,MIC = 1,MIC = 0.5,MIC = 0.12,MIC = 8,MIC = NA,MIC > 2
1839-98,1998,15B,199,2,0,2,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC = NA,MIC = 1
1851-00,1999,6A,460,23,0,11,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1864-00,1999,19F,162,2,29,89,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1867-01,2000,14,13,27,36,8,MIC = 4,MIC = 8,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1868-00,1999,16F,570,0,6,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1873-00,1999,06A,376,42,42,8,MIC = 4,MIC = 2,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1879-00,1999,06B,1792,25,36,62,MIC = 4,MIC = 8,MIC > 1,MIC = 4,MIC = NA,MIC > 2
1894-00,1999,35B,558,4,7,7,MIC = 2,MIC = 2,MIC = 1,MIC = 1,MIC = NA,MIC > 2
1897-00,1999,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1898-00,1999,14,124,23,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1904-00,2000,NA,138,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1953-00,1999,6B,146,11,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1962-99,1998,14,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
1968-98,1998,14,13,27,36,8,MIC = 2,MIC = NA,MIC > 1,MIC = 1,MIC = NA,MIC > 2
1970-98,1998,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
1971-99,1998,14,230,17,46,35,MIC = 0.5,MIC = 0.5,MIC = 0.25,MIC = 0.25,MIC = NA,MIC <= 0.5
1985-98,1998,16,3157,0,0,3,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
2003000312,2003,10A,9556,23,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
2008004334,2007,19A,320,13,11,16,MIC = 4,MIC = 8,MIC = 1,MIC = 2,MIC = 2,MIC > 2
2008008293,2007,19A,199,0,29,11,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008008309,2007,19A,695,8,0,11,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008008385,2007,6C,1390,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008008613,2007,19A,695,8,0,11,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008008728,2007,19A,695,8,0,11,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008008731,2007,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008227074,2007,09N,66,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC = 2
2008227157,2007,19A,199,0,29,11,MIC = 0.12,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008227516,2007,19A,667,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008227542,2007,7F,191,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008227894,2007,15C,199,2,0,12,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008227920,2007,33F,2705,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008230628,2008,19A,320,13,11,16,MIC = 4,MIC = 8,MIC = 1,MIC = 2,MIC = 1,MIC > 2
2008232564,2008,1,227,23,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
2008236056,2007,19A,320,13,11,16,MIC = 4,MIC = 8,MIC = 1,MIC = 2,MIC = 2,MIC > 2
